index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
91,NR_113077.1,1,1480,17,1387,93.7162,15.7608,39.4,56.1,454154,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella clara,15.7608108108108,4.110486188424,0.260804233853534,0.12,WOL-70-DRS-L157
92,NR_113094.1,1,1494,1,1360,91.0308,0.910308,37.3,1,305719,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella baroniae,0.910307898259706,0.285835819046471,0.313999054158403,0.01,WOL-70-DRS-L157
93,NR_113098.1,1,1493,16,1399,93.704,14.4072,37.8,1.56,28127,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella buccalis,14.4072337575352,4.06089718848947,0.281865155853778,0.11,WOL-70-DRS-L157
94,NR_113099.1,1,1479,10,1388,93.8472,9.11224,37.8,3.7,28128,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella corporis,9.11223799864774,2.5218085972103,0.276749641260966,0.07,WOL-70-DRS-L157
95,NR_113104.1,1,1480,2,1373,92.7703,1.78176,42.6,11.5,76123,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella enoeca,1.78175675675676,0.561623403011573,0.315207674045175,0.01,WOL-70-DRS-L157
96,NR_113108.1,1,1490,3,1392,93.4228,2.73893,37,1,840,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella loescheii,2.73892617449664,0.7858051791868,0.28690265057298,0.02,WOL-70-DRS-L157
97,NR_113110.1,1,1405,1,1278,90.9609,0.909609,38,1,439703,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa,0.909608540925267,0.286843868777434,0.315348697677852,0.01,WOL-70-DRS-L157
98,NR_113118.1,1,1481,276,1390,93.8555,252.077,39.1,0.0978,28135,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,252.07697501688,72.1685958918798,0.286295866122033,1.9,WOL-70-DRS-L157
99,NR_113119.1,1,1481,289,1390,93.8555,264.422,39.1,0.176,28135,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,264.42201215395,75.6887708227,0.286242322286818,1.99,WOL-70-DRS-L157
100,NR_113122.1,1,1491,5,1395,93.5614,4.39705,36.1,1,185294,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella paludivivens,4.39704896042924,1.27940501466932,0.290969017216588,0.03,WOL-70-DRS-L157
101,NR_113125.1,1,1486,1,1365,91.8573,0.918573,37,1,28112,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella forsythia,0.9185733512786,0.273581281361846,0.297832808867182,0.01,WOL-70-DRS-L157
102,NR_113152.1,1,1488,2,1395,93.75,1.86761,39.2,48.5,28117,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,1.86760752688172,0.489924498249478,0.262327331196554,0.01,WOL-70-DRS-L157
103,NR_113153.1,1,1486,3,1389,93.4724,2.75707,38.1,1.67,328814,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,2.75706594885599,0.769494480758101,0.27909904769503,0.02,WOL-70-DRS-L157
104,NR_113164.1,1,1466,34,1364,93.0423,30.9891,37.8,1.03,147206,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella stercoris,30.9890859481583,8.79783658541884,0.283901132164297,0.23,WOL-70-DRS-L157
105,NR_113165.1,1,1466,97,1364,93.0423,87.9236,37.5,13.9,147207,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella intestinalis,87.9236016371078,24.5646801493909,0.279386645815286,0.67,WOL-70-DRS-L157
106,NR_113172.1,1,1502,61,1373,91.4115,53.6971,38.6,14,1437609,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium callitrichos,53.6970705725699,16.9491375168562,0.315643615864482,0.42,WOL-70-DRS-L157
107,NR_113195.1,1,1490,128,1399,93.8926,115.634,38.2,1.67,1236515,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,115.634228187919,32.4649281690633,0.28075534967297,0.88,WOL-70-DRS-L157
108,NR_113206.1,1,1486,23,1393,93.7416,21.214,38.6,5.3,1236513,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecichinchillae,21.21399730821,5.6555415960608,0.266594810675877,0.16,WOL-70-DRS-L157
109,NR_113208.1,1,1489,13,1395,93.687,10.9349,38.1,7.23,871327,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides chinchillae,10.9348556077905,3.22838979492579,0.295238447650442,0.09,WOL-70-DRS-L157
110,NR_113227.1,1,1490,65,1397,93.7584,59.2188,38,9.55,915438,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oryzae,59.2187919463087,16.437901824867,0.277579148182735,0.45,WOL-70-DRS-L157
111,NR_113231.1,1,1491,20,1389,93.159,17.9671,39.2,12.8,536633,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia glucerasea,17.9671361502347,5.02406221316169,0.279625098354701,0.14,WOL-70-DRS-L157
112,NR_113270.1,1,1493,2,1383,92.6323,1.79437,38.8,1,1121114,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia producta,1.79437374413932,0.557590048180807,0.310743539355709,0.01,WOL-70-DRS-L157
113,NR_113273.1,1,1469,32,1365,92.9204,26.4309,37.6,5,742742,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella tanakaei,26.430905377808,9.55723604543876,0.36159321479253,0.22,WOL-70-DRS-L157
114,NR_113274.1,1,1478,42,1374,92.9635,38.2463,39.2,9.95,762983,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei,38.2462787550744,10.8108108875708,0.282663078329849,0.29,WOL-70-DRS-L157
115,NR_113306.1,1,1174,1,1020,86.8825,0.868825,34.8,11,1064535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.868824531516184,0.337736028235863,0.388727546224415,0.01,WOL-70-DRS-L157
116,NR_113313.1,1,1429,30,1376,96.2911,28.0903,38.2,41.6,1437610,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium reuteri,28.0902729181246,5.72094747847889,0.203662936816381,0.21,WOL-70-DRS-L157
117,NR_113379.1,1,1469,1,1150,78.2845,0.782845,41.8,1,134605,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium equinum,0.78284547311096,0.412449076967752,0.526858864404894,0.01,WOL-70-DRS-L157
118,NR_113384.1,1,1469,376,1367,93.0565,338.764,38.6,55.5,856,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium,338.763784887679,94.6112907862903,0.279283958341827,2.59,WOL-70-DRS-L157
119,NR_113393.1,1,1528,3,1409,92.212,2.73757,41.8,20.3,2741,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Peptococcaceae,Peptococcus,Peptococcus niger,2.73756544502618,0.815599282465527,0.297928688407202,0.02,WOL-70-DRS-L157
120,NR_113410.1,1,1390,1,1114,80.1439,0.801439,39.9,1,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,0.801438848920863,0.39906038154959,0.497929919527765,0.01,WOL-70-DRS-L157
121,NR_113411.1,1,1493,15,1400,93.7709,13.5157,38.3,3.53,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,13.5157401205626,3.85710584342421,0.28537881085447,0.1,WOL-70-DRS-L157
122,NR_114789.1,1,1505,7,1290,85.7143,5.94419,38.3,3.43,1535,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,unclassified Oscillospiraceae genus,[Clostridium] leptum,5.94418604651163,2.44423328435369,0.411197305270769,0.05,WOL-70-DRS-L157
123,NR_114807.1,1,1456,3,1341,92.1016,2.41484,38.5,0.333,168384,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,2.41483516483516,1.00563346551752,0.416439796869597,0.02,WOL-70-DRS-L157
124,NR_115211.1,1,1485,5,1375,92.5926,4.44108,38.6,1,253257,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora amygdalina,4.44107744107744,1.32417249654364,0.298164694066308,0.03,WOL-70-DRS-L157
125,NR_116050.1,1,1454,1,1334,91.7469,0.917469,43,1,439703,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella maculosa,0.917469050894085,0.27526660555615,0.300028219249356,0.01,WOL-70-DRS-L157
126,NR_116181.1,1,1435,20,1396,97.2822,19.0599,38.7,37,28116,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,19.0599303135889,3.45370316414815,0.181202297559599,0.14,WOL-70-DRS-L157
127,NR_116936.1,1,1428,1,1268,88.7955,0.887955,36.8,1,604330,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parafannyhessea,Parafannyhessea umbonata,0.887955182072829,0.31553208543473,0.355346859622077,0.01,WOL-70-DRS-L157
128,NR_117126.1,1,1525,2,1388,91.0164,1.7823,34.1,1,1544,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Faecalicatena,Faecalicatena orotica,1.78229508196721,0.591786502529024,0.332036209108448,0.01,WOL-70-DRS-L157
129,NR_117373.1,1,1327,16,1319,99.3971,15.2005,38.2,1.44,1236515,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,15.2004521477016,3.09047577557084,0.203314726795028,0.11,WOL-70-DRS-L157
130,NR_117734.1,1,1482,18,1354,91.363,15.2773,38.1,13.8,850,Bacteria,unclassified Bacteria kingdom,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium mortiferum,15.2773279352227,5.16317259654671,0.337963066475961,0.12,WOL-70-DRS-L157
131,NR_117778.1,1,1462,1,1268,86.7305,0.867305,37.3,0,40545,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,0.867305061559508,0.339360817575492,0.391281952125685,0.01,WOL-70-DRS-L157
132,NR_117905.1,1,1376,1,1255,91.2064,0.912064,31.1,1,879566,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Acetatifactor,Acetatifactor muris,0.912063953488372,0.283304832127828,0.310619481281188,0.01,WOL-70-DRS-L157
133,NR_118128.1,1,1310,1,1129,86.1832,0.861832,39.6,1,1531,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster clostridioformis,0.861832061068702,0.345207948814482,0.400551295790055,0.01,WOL-70-DRS-L157
134,NR_118316.1,1,1490,159,1402,94.094,146.323,39.1,51.3,1349822,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter fastidiosus,146.322818791946,38.7623480545646,0.264909795851323,1.1,WOL-70-DRS-L157
135,NR_118690.1,1,1423,2,1371,96.3457,1.89881,35,10,411470,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] gnavus,1.89880534082923,0.40516007938747,0.213376311239219,0.01,WOL-70-DRS-L157
136,NR_118782.1,1,1434,1,1030,71.8271,0.718271,33.7,1,35519,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Mogibacterium,Mogibacterium timidum,0.718270571827057,0.449999078093288,0.626503570859975,0.01,WOL-70-DRS-L157
137,NR_119085.1,1,1503,3,1384,92.0825,2.59215,40.1,0.667,29364,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,[Clostridium] polysaccharolyticum,2.59214903526281,0.861588721825345,0.332383944790425,0.02,WOL-70-DRS-L157
138,NR_121773.2,1,1532,3,1397,91.188,2.66775,37.2,2,397865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,2.6677545691906,0.88306776142739,0.331015368364757,0.02,WOL-70-DRS-L157
139,NR_125570.1,1,1395,94,1292,92.6165,84.2753,38.9,1.44,796943,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium parvum,84.2752688172043,24.9247691129325,0.295754252258692,0.65,WOL-70-DRS-L157
140,NR_125571.1,1,1436,16,1356,94.429,14.6212,37.4,10.3,796944,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium asaccharolyticum,14.6211699164345,3.85141418748778,0.263413544162338,0.11,WOL-70-DRS-L157
141,NR_133027.1,1,1519,23,1418,93.3509,21.0039,37.9,1.96,1232428,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis,21.0039499670836,5.82020787404538,0.277100635031341,0.16,WOL-70-DRS-L157
142,NR_133981.1,1,1421,44,1337,94.0887,39.855,38.8,44.9,1329411,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium aesculapii,39.8550316678396,10.2428998604796,0.257003932297587,0.3,WOL-70-DRS-L157
143,NR_134080.1,1,1566,2,1403,89.5913,1.62963,37.1,3.5,879612,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera indica,1.62962962962963,0.664568939627553,0.407803667498726,0.01,WOL-70-DRS-L157
144,NR_134772.1,1,1433,1,1258,87.7879,0.877879,32,1,1337051,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Murimonas,Murimonas intestini,0.877878576413119,0.327540298676651,0.373104330686519,0.01,WOL-70-DRS-L157
145,NR_144579.1,1,1279,3,1219,95.3088,2.7631,36.4,16.7,1232426,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Enorma,[Collinsella] massiliensis,2.76309616888194,0.708332995951992,0.256354810928862,0.02,WOL-70-DRS-L157
146,NR_144616.1,1,1460,7,1322,90.5479,5.50479,37.6,12.4,1796646,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum intestinale,5.50479452054795,2.63510419492913,0.478692562473127,0.05,WOL-70-DRS-L157
147,NR_144722.1,1,1476,1,1346,91.1924,0.911924,37.9,1,1632013,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Drancourtella,Drancourtella massiliensis,0.911924119241192,0.283501275519631,0.31088252798438,0.01,WOL-70-DRS-L157
148,NR_144727.1,1,1478,1,1343,90.866,0.90866,37.1,1,1673717,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaeromassilibacillus,Anaeromassilibacillus senegalensis,0.908660351826793,0.288189017160252,0.317158129086264,0.01,WOL-70-DRS-L157
149,NR_144744.1,1,1491,797,1398,93.7626,729.119,38.9,9.2,1841856,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides mediterraneensis,729.118712273642,200.317841381616,0.274739679574203,5.5,WOL-70-DRS-L157
150,NR_144747.1,1,1491,5,1396,93.6284,4.55936,39.4,1,1841865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Mediterranea,Mediterranea massiliensis,4.55935613682093,1.27639829414498,0.279951435211851,0.03,WOL-70-DRS-L157
151,NR_145535.1,1,1494,1,1159,77.577,0.77577,38.6,1,1931217,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,0.775769745649264,0.41721404394849,0.537806541552238,0.01,WOL-70-DRS-L157
152,NR_145844.1,1,1489,4,1396,93.7542,3.50705,39.2,7.75,1411144,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecigallinarum,3.50705171255876,1.04346917927823,0.297534585971904,0.03,WOL-70-DRS-L157
153,NR_147370.1,1,1495,4,1390,92.9766,3.63813,39.9,4,1870988,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Pseudoflavonifractor,Pseudoflavonifractor phocaeensis,3.638127090301,1.06584643282951,0.292965695363141,0.03,WOL-70-DRS-L157
154,NR_147373.1,1,1532,1,1395,91.0574,0.910574,38.3,18,1852379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Colibacter,Colibacter massiliensis,0.910574412532637,0.285450237961083,0.313483702190953,0.01,WOL-70-DRS-L157
155,NR_147376.1,1,1530,1,1396,91.2418,0.912418,35.8,1,1852378,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Caecibacter,Caecibacter massiliensis,0.912418300653595,0.282778020630994,0.309921469602737,0.01,WOL-70-DRS-L157
156,NR_147379.1,1,1471,5,1363,92.6581,4.52073,37.6,12,1907654,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella bouchesdurhonensis,4.52073419442556,1.3291902314854,0.294020876769176,0.03,WOL-70-DRS-L157
157,NR_147381.1,1,1497,1723,1394,93.1196,1563.81,39.5,59,1852381,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Duodenibacillus,Duodenibacillus massiliensis,1563.80961923848,434.224820048222,0.27767115300114,11.89,WOL-70-DRS-L157
158,NR_147399.1,1,1472,4,1362,92.5272,3.08764,34.6,1,1871016,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella phocaeensis,3.08763586956522,1.03563134004599,0.335412394399932,0.03,WOL-70-DRS-L157
159,NR_147400.1,1,1482,1,1346,90.8232,0.908232,28.6,1,1958780,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium merdae,0.908232118758435,0.288795454286784,0.317975381317246,0.01,WOL-70-DRS-L157
160,NR_147760.1,1,1423,51,1379,96.9079,47.6156,38,47.1,1630166,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium myosotis,47.6156008432888,9.18043590569756,0.192803109550417,0.35,WOL-70-DRS-L157
161,NR_147762.1,1,1381,2,1305,94.4967,1.80956,37.1,60,1630172,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium hapali,1.80955829109341,0.514227879444743,0.284173149865222,0.01,WOL-70-DRS-L157
162,NR_148822.1,1,1489,1,1324,88.9187,0.889187,36.5,10,1462571,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides gallinaceum,0.889187374076562,0.314005424156365,0.35313752006709,0.01,WOL-70-DRS-L157
163,NR_151895.1,1,1478,2,1373,92.8958,1.82882,37.5,1,433286,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna cellulosilytica,1.82882273342355,0.533058872338296,0.291476512510545,0.01,WOL-70-DRS-L157
164,NR_156078.1,1,1412,3,1372,97.1671,2.86331,35,0,1469948,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Kineothrix,Kineothrix alysoides,2.86331444759207,0.55881549856401,0.195163859503434,0.02,WOL-70-DRS-L157
165,NR_159117.1,1,1417,31,1350,95.2717,28.921,38.1,4.1,1912896,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides koreensis,28.9209597741708,6.82008227531199,0.235817978675901,0.21,WOL-70-DRS-L157
166,NR_159261.1,1,1374,2,1166,84.8617,1.67904,36.3,19,2052941,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium callitrichidarum,1.67903930131004,0.72186551833974,0.429927707931861,0.01,WOL-70-DRS-L157
167,NR_159324.1,1,1498,1,1353,90.3204,0.903204,42.1,8,1630173,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catulorum,0.903204272363151,0.29577815294568,0.327476476801647,0.01,WOL-70-DRS-L157
168,NR_163613.1,1,1478,11,1374,92.9635,9.93369,37.5,25.9,2003188,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,Parolsenella catena,9.93369418132612,2.82357591139323,0.28424228286604,0.08,WOL-70-DRS-L157
169,NR_164634.1,1,1400,47,1376,98.2857,40.445,38.9,10.5,2045439,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium rousetti,40.445,11.5286808650206,0.285045886142182,0.32,WOL-70-DRS-L157
170,NR_164635.1,1,1401,3,1167,83.2976,2.2641,39.3,1,2562524,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vespertilionis,2.26409707351892,1.11812473198847,0.493850173239548,0.02,WOL-70-DRS-L157
171,NR_165699.1,1,1523,8,1392,91.3986,7.19041,37.9,9.88,2685834,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides chongii,7.19041365725542,2.24439439537003,0.312137034439646,0.06,WOL-70-DRS-L157
172,NR_165743.1,1,1454,5,1367,94.0165,4.17194,40.3,8.2,2490854,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella koreensis,4.17193947730399,1.58559741231482,0.380062419634972,0.03,WOL-70-DRS-L157
173,NR_169348.1,1,1367,132,1365,99.8537,129.524,39.4,23.6,2584944,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella faecalis,129.5237746891,7.89865239180657,0.0609822591316995,0.91,WOL-70-DRS-L157
174,NR_170508.1,1,1542,64,1403,90.9857,56.0804,38.8,8.45,2518971,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella dubosii,56.0804150453956,18.8611172698925,0.336322711852702,0.44,WOL-70-DRS-L157
175,NR_170509.1,1,1538,48,1400,91.0273,42.0299,38.5,2.98,2530391,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella freteri,42.0299089726918,14.4957002169698,0.34489011685436,0.33,WOL-70-DRS-L157
176,NR_173570.1,1,1471,2,1370,93.1339,1.81509,41.6,1,1912090,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Gluceribacter,Gluceribacter canis,1.8150917743032,0.536874909492422,0.295783892083653,0.01,WOL-70-DRS-L157
178,NR_173691.1,1,1434,25,1352,94.2817,23.0126,39.2,42.1,1871031,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Thermophilibacter,Thermophilibacter mediterraneus,23.0125523012552,5.7961277625825,0.251868097319494,0.17,WOL-70-DRS-L157
179,NR_173693.1,1,1478,3,1372,92.8281,2.7341,37.3,10.7,1852385,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella phocaeensis,2.734100135318,0.794574251928674,0.290616368312442,0.02,WOL-70-DRS-L157
180,NR_174313.1,1,1515,25,1381,91.1551,22.5531,39.2,42.5,2650773,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium cebidarum,22.5531353135314,7.0704359929421,0.313501244711639,0.17,WOL-70-DRS-L157
181,NR_174314.1,1,1514,11,1379,91.0832,9.65984,37.8,4.18,2650774,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium leontopitheci,9.65984147952444,3.1169979755125,0.322675892986388,0.08,WOL-70-DRS-L157
